PARAMETER,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,Mean
PRECTOTCORR_SUM,22.25,-15.25,75.41,78.05,30.06,6.86,23.73,31.64,11.6,224.65,441.91,377.05,23.2,82.79,1406.95,117.24583333333334
PRECTOTCORR_SUM,22.25,-15.75,80.68,80.16,33.22,12.66,22.15,19.51,5.27,199.86,381.8,376.52,33.75,107.58,1353.16,112.76333333333332
PRECTOTCORR_SUM,22.25,-16.25,76.46,63.28,39.55,10.55,15.82,2.64,5.27,176.66,242.58,374.41,31.64,137.11,1175.98,97.99750000000002
PRECTOTCORR_SUM,22.25,-16.75,87.01,35.86,69.08,23.2,9.49,0.53,3.16,134.47,141.33,368.09,31.64,122.34,1026.21,85.51666666666667
PRECTOTCORR_SUM,22.25,-7.25,19.51,15.29,27.42,9.49,21.09,31.11,83.32,262.09,236.25,69.08,31.64,49.57,855.88,71.32166666666667
PRECTOTCORR_SUM,22.25,-7.75,17.4,14.24,16.88,8.44,12.66,32.17,61.17,278.96,243.63,73.3,29.53,51.68,840.06,70.00499999999998
PRECTOTCORR_SUM,22.25,-8.25,16.35,15.29,10.02,5.8,6.86,28.48,37.44,284.24,243.63,92.81,27.42,50.62,818.96,68.24666666666667
PRECTOTCORR_SUM,22.25,-8.75,18.46,13.18,7.91,7.91,2.64,26.37,50.1,261.04,268.95,63.28,31.64,52.73,804.2,67.0175
PRECTOTCORR_SUM,22.25,-9.25,20.57,19.51,10.02,5.8,4.75,26.37,29.0,239.94,294.26,113.91,23.2,61.17,848.5,70.70833333333333
PRECTOTCORR_SUM,22.25,-9.75,30.59,24.26,15.29,2.11,10.02,27.95,28.48,210.94,306.91,145.55,16.35,56.95,875.39,72.95
PRECTOTCORR_SUM,22.75,-10.25,44.3,37.44,20.04,0.0,10.02,27.95,17.93,255.23,376.0,140.27,23.73,43.24,996.15,83.0125
PRECTOTCORR_SUM,22.75,-10.75,39.55,33.22,19.51,0.0,4.75,21.09,12.66,246.8,403.95,175.08,33.75,39.02,1029.38,85.78166666666668
PRECTOTCORR_SUM,22.75,-11.25,39.55,29.0,23.73,0.0,2.64,31.64,10.55,232.03,490.43,232.03,42.19,47.46,1181.25,98.4375
PRECTOTCORR_SUM,22.75,-11.75,35.33,31.11,25.84,0.0,2.64,44.3,8.44,213.05,460.9,265.78,48.52,43.24,1179.14,98.26249999999999
PRECTOTCORR_SUM,22.75,-12.25,54.84,33.22,34.28,0.0,1.05,50.63,7.91,206.72,485.16,277.38,48.52,59.59,1259.3,104.94166666666666
PRECTOTCORR_SUM,22.75,-12.75,88.59,36.39,49.04,2.11,1.05,70.66,11.07,205.66,476.72,302.7,51.68,80.68,1376.37,114.69583333333334
PRECTOTCORR_SUM,22.75,-13.25,111.27,37.44,62.23,5.8,4.22,91.76,15.82,213.05,439.28,333.81,53.79,88.07,1456.52,121.37833333333332
PRECTOTCORR_SUM,22.75,-13.75,81.74,29.0,58.01,7.91,10.55,68.55,15.82,242.58,466.7,319.04,36.91,60.64,1397.46,116.45416666666667
PRECTOTCORR_SUM,22.75,-14.25,75.41,50.1,39.02,10.02,21.09,51.68,17.93,261.56,464.59,346.46,24.26,88.07,1450.2,120.84916666666665
PRECTOTCORR_SUM,22.75,-14.75,76.99,66.45,50.1,12.13,31.64,41.13,12.13,244.16,471.97,358.07,25.84,115.49,1506.09,125.50833333333333
PRECTOTCORR_SUM,22.75,-15.25,83.32,80.16,64.86,15.29,37.97,33.75,5.8,208.3,470.92,366.5,34.28,142.91,1544.06,128.67166666666668
PRECTOTCORR_SUM,22.75,-15.75,91.23,84.38,72.25,18.46,36.91,24.26,3.69,166.11,417.66,369.67,41.13,167.7,1493.44,124.4541666666667
PRECTOTCORR_SUM,22.75,-16.25,97.56,63.28,76.46,18.46,26.37,5.27,7.91,123.93,242.58,350.68,36.91,184.57,1233.98,102.83166666666666
PRECTOTCORR_SUM,22.75,-16.75,106.0,37.97,97.56,26.89,15.82,3.16,7.91,81.74,135.0,308.5,30.59,148.71,999.84,83.32083333333334
PRECTOTCORR_SUM,22.75,-7.25,30.59,17.4,26.89,20.04,17.4,32.17,78.57,266.31,295.84,93.87,49.04,54.32,982.44,81.87
PRECTOTCORR_SUM,22.75,-7.75,32.7,16.35,17.4,16.88,10.02,36.39,51.15,271.58,293.73,101.25,41.66,53.26,942.36,78.53083333333333
PRECTOTCORR_SUM,22.75,-8.25,28.48,12.66,8.44,11.6,4.22,37.97,30.06,278.96,285.82,114.96,31.64,51.15,895.96,74.66333333333334
PRECTOTCORR_SUM,22.75,-8.75,36.91,10.55,10.55,15.82,0.0,31.64,34.28,276.86,311.13,100.2,42.19,55.37,925.49,77.12500000000001
PRECTOTCORR_SUM,22.75,-9.25,32.7,14.77,10.55,7.38,6.33,29.53,23.73,285.29,342.77,123.4,23.2,57.48,957.13,79.76083333333334
PRECTOTCORR_SUM,22.75,-9.75,41.13,30.06,16.88,2.11,11.07,32.17,21.09,270.0,363.34,127.62,18.46,51.68,985.61,82.13416666666666
PRECTOTCORR_SUM,23.25,-10.25,36.39,34.8,14.24,0.0,6.33,27.42,5.8,277.91,369.14,141.33,26.37,40.61,980.33,81.69500000000001
PRECTOTCORR_SUM,23.25,-10.75,40.61,32.17,16.35,0.0,0.0,23.2,2.64,280.02,401.84,181.41,35.86,43.24,1057.32,88.11166666666666
PRECTOTCORR_SUM,23.25,-11.25,44.82,34.28,18.46,0.0,0.0,31.64,2.64,282.13,469.34,221.48,42.19,47.46,1194.43,99.53666666666668
PRECTOTCORR_SUM,23.25,-11.75,44.82,30.06,20.57,0.0,0.0,37.97,2.64,244.16,446.13,265.78,50.63,47.46,1190.21,99.185
PRECTOTCORR_SUM,23.25,-12.25,62.23,33.75,27.42,1.58,0.0,53.79,2.64,247.32,456.15,268.95,49.57,64.86,1268.26,105.68833333333332
PRECTOTCORR_SUM,23.25,-12.75,98.09,35.86,51.68,3.69,3.16,84.38,3.69,227.29,436.11,284.77,49.57,87.01,1365.29,113.77499999999999
PRECTOTCORR_SUM,23.25,-13.25,127.09,32.7,80.16,6.33,8.44,108.63,6.33,185.1,392.34,313.77,48.52,98.09,1407.48,117.29166666666664
PRECTOTCORR_SUM,23.25,-13.75,97.56,26.37,73.83,10.55,10.55,79.1,10.55,187.21,400.78,303.22,31.64,79.1,1310.45,109.205
PRECTOTCORR_SUM,23.25,-14.25,91.23,45.35,59.06,16.88,23.2,55.9,12.66,193.54,400.78,326.43,25.31,117.07,1367.4,113.95083333333332
PRECTOTCORR_SUM,23.25,-14.75,89.65,56.43,80.68,20.04,35.86,42.19,8.44,191.95,413.44,332.23,34.8,150.29,1456.0,121.33333333333333
PRECTOTCORR_SUM,23.25,-15.25,94.92,65.92,101.78,22.15,44.3,30.59,4.22,170.86,411.33,332.23,43.24,186.15,1507.68,125.64083333333333
PRECTOTCORR_SUM,23.25,-15.75,104.94,72.25,107.05,25.31,43.24,17.4,3.69,130.25,354.9,323.26,43.24,212.52,1438.07,119.83749999999999
PRECTOTCORR_SUM,23.25,-16.25,113.38,65.92,102.83,31.64,26.37,2.64,7.91,81.74,192.48,287.4,36.91,197.75,1146.97,95.58083333333332
PRECTOTCORR_SUM,23.25,-16.75,138.69,46.93,121.82,29.53,13.71,4.75,12.13,41.66,112.32,232.56,36.91,159.79,950.8,79.23333333333332
PRECTOTCORR_SUM,23.25,-7.25,27.42,16.88,22.68,15.82,9.49,23.73,46.93,270.53,284.24,92.81,44.82,50.1,905.45,75.45416666666667
PRECTOTCORR_SUM,23.25,-7.75,27.42,14.77,18.46,11.6,3.16,29.0,30.06,258.93,276.86,95.98,34.28,43.77,844.28,70.3575
PRECTOTCORR_SUM,23.25,-8.25,22.68,12.66,10.55,5.8,0.0,35.33,22.15,254.18,272.64,97.56,20.57,43.24,797.34,66.44666666666667
PRECTOTCORR_SUM,23.25,-8.75,29.0,10.55,10.55,7.91,0.0,29.0,15.82,247.85,287.4,97.56,29.0,47.46,812.11,67.675
PRECTOTCORR_SUM,23.25,-9.25,22.68,14.77,8.44,3.69,6.33,26.89,13.71,266.84,323.26,114.43,18.46,47.46,866.95,72.24666666666667
PRECTOTCORR_SUM,23.25,-9.75,29.0,28.48,11.07,1.05,9.49,29.53,10.02,274.75,348.05,120.23,18.98,42.71,923.38,76.94666666666667
PRECTOTCORR_SUM,23.75,-10.25,33.75,29.0,8.96,0.0,4.75,26.89,11.07,245.21,341.72,186.15,33.22,46.93,967.68,80.6375
PRECTOTCORR_SUM,23.75,-10.75,37.97,30.59,13.18,0.0,0.53,25.31,7.91,252.6,383.38,219.38,40.08,51.15,1062.07,88.50666666666667
PRECTOTCORR_SUM,23.75,-11.25,42.19,36.91,23.73,0.0,2.64,31.64,7.91,250.49,429.79,263.67,42.19,55.37,1186.52,98.8775
PRECTOTCORR_SUM,23.75,-11.75,42.19,28.48,23.73,0.0,0.53,31.64,5.8,237.83,402.36,293.2,52.73,61.7,1180.2,98.34916666666668
PRECTOTCORR_SUM,23.75,-12.25,59.59,31.11,30.06,1.58,1.58,50.62,3.69,226.76,398.67,303.75,49.04,72.77,1229.24,102.435
PRECTOTCORR_SUM,23.75,-12.75,87.01,31.11,45.88,4.75,6.86,79.1,3.69,204.61,373.36,316.41,43.77,86.48,1283.03,106.91916666666668
PRECTOTCORR_SUM,23.75,-13.25,107.58,26.89,64.86,9.49,13.18,96.5,5.8,174.55,326.43,335.39,39.55,96.5,1296.74,108.06
PRECTOTCORR_SUM,23.75,-13.75,94.92,29.0,71.19,15.82,13.18,71.19,7.91,155.57,303.22,348.05,29.0,92.29,1231.35,102.61166666666666
PRECTOTCORR_SUM,23.75,-14.25,97.03,52.21,79.63,22.15,21.62,41.66,10.02,161.89,307.44,326.95,31.11,136.58,1288.3,107.35749999999997
PRECTOTCORR_SUM,23.75,-14.75,97.56,61.17,105.47,25.31,30.06,27.95,8.96,161.89,332.23,313.77,36.39,176.13,1376.89,114.74083333333333
PRECTOTCORR_SUM,23.75,-15.25,102.83,66.45,120.23,28.48,35.33,18.46,4.75,136.58,323.79,296.89,41.66,208.83,1384.28,115.35666666666667
PRECTOTCORR_SUM,23.75,-15.75,118.65,71.72,118.65,32.7,33.22,8.44,0.53,91.23,257.87,270.53,43.77,220.96,1268.26,105.68916666666667
PRECTOTCORR_SUM,23.75,-16.25,150.29,73.83,118.65,36.91,18.46,0.0,2.64,55.37,139.75,234.67,39.55,187.21,1057.32,88.1108333333333
PRECTOTCORR_SUM,23.75,-16.75,181.93,63.28,127.09,30.59,10.02,2.11,6.86,38.5,91.23,184.04,41.66,161.89,939.2,78.26666666666667
PRECTOTCORR_SUM,23.75,-7.25,20.57,13.71,23.73,12.66,10.02,19.51,34.28,315.35,291.62,109.69,40.61,50.1,941.84,78.48750000000001
PRECTOTCORR_SUM,23.75,-7.75,20.57,13.71,20.57,7.38,6.86,18.46,24.79,290.04,287.4,108.63,31.11,39.55,869.06,72.4225
PRECTOTCORR_SUM,23.75,-8.25,23.2,17.93,15.29,3.16,5.8,24.79,18.98,274.22,290.04,111.8,25.84,40.08,851.13,70.92750000000001
PRECTOTCORR_SUM,23.75,-8.75,21.09,15.82,13.18,5.27,7.91,18.46,21.09,242.58,300.59,105.47,23.73,42.19,817.38,68.11500000000001
